"rank1:radial1:topleft-medium,left-far,bottomleft-close","rank2:radial1:topleft-medium,left-far,bottomleft-close","rank3:radial1:topleft-medium,left-far,bottomleft-close","rank1:radial1:topleft-far,left-close,bottomleft-medium","rank2:radial1:topleft-far,left-close,bottomleft-medium","rank3:radial1:topleft-far,left-close,bottomleft-medium","rank1:radial2:topleft-medium,left-far,bottomleft-close","rank2:radial2:topleft-medium,left-far,bottomleft-close","rank3:radial2:topleft-medium,left-far,bottomleft-close","rank1:radial2:topleft-far,left-close,bottomleft-medium","rank2:radial2:topleft-far,left-close,bottomleft-medium","rank3:radial2:topleft-far,left-close,bottomleft-medium","rank1:grid1:topleft-medium,left-far,bottomleft-close","rank2:grid1:topleft-medium,left-far,bottomleft-close","rank3:grid1:topleft-medium,left-far,bottomleft-close","rank1:grid1:topleft-far,left-close,bottomleft-medium","rank2:grid1:topleft-far,left-close,bottomleft-medium","rank3:grid1:topleft-far,left-close,bottomleft-medium","rank1:grid2:topleft-medium,left-far,bottomleft-close","rank2:grid2:topleft-medium,left-far,bottomleft-close","rank3:grid2:topleft-medium,left-far,bottomleft-close","rank1:grid2:topleft-far,left-close,bottomleft-medium","rank2:grid2:topleft-far,left-close,bottomleft-medium","rank3:grid2:topleft-far,left-close,bottomleft-medium"
2,1,3,3,2,1,1,2,3,1,2,3,3,1,2,1,2,3,2,1,3,1,2,3
1,2,3,1,3,2,3,1,2,3,1,2,3,2,1,1,3,2,1,2,3,3,2,1
1,3,2,2,1,3,1,2,3,2,1,3,1,2,3,1,2,3,1,3,2,1,2,3
3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,2,1,3,3,1,2
1,2,3,1,2,3,1,3,2,2,3,1,1,3,2,2,3,1,2,3,1,1,2,3
1,2,3,1,3,2,1,2,3,2,3,1,2,1,3,1,2,3,1,2,3,1,3,2
2,1,3,2,1,3,3,1,2,2,1,3,2,1,3,3,1,2,2,1,3,3,1,2
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,2,3,1,3,2,1,2,3,1,3,2,1,2,3,1,3,2,1,2,3,1,3,2
1,2,3,1,2,3,1,3,2,3,2,1,2,3,1,1,2,3,1,2,3,1,2,3
1,2,3,1,2,3,1,3,2,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,3,2,1,2,3,1,3,2,1,3,2,1,3,2,1,2,3,1,3,2,1,3,2
1,2,3,1,3,2,1,2,3,1,2,3,1,2,3,1,3,2,1,2,3,1,3,2
1,3,2,1,2,3,1,3,2,1,2,3,1,3,2,1,2,3,1,2,3,1,2,3
1,3,2,3,1,2,3,2,1,1,2,3,2,3,1,2,1,3,2,3,1,2,3,1
1,2,3,1,2,3,1,3,2,2,1,3,2,3,1,2,1,3,2,3,1,2,3,1
1,2,3,1,3,2,3,2,1,2,1,3,1,3,2,1,3,2,1,2,3,1,2,3
2,3,1,2,1,3,2,3,1,2,1,3,3,2,1,3,1,2,3,2,1,3,1,2
1,2,3,1,2,3,1,3,2,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
2,1,3,1,2,3,2,1,3,3,2,1,2,1,3,3,2,1,2,1,3,2,3,1
1,3,2,3,1,2,1,3,2,3,2,1,1,3,2,3,1,2,1,3,2,3,2,1
1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2
1,3,2,1,2,3,1,2,3,1,2,3,1,3,2,1,2,3,1,2,3,1,2,3
1,2,3,1,2,3,3,1,2,2,1,3,2,1,3,1,2,3,2,1,3,2,1,3
2,1,3,1,3,2,3,1,2,1,3,2,2,1,3,2,1,3,3,2,1,2,3,1
2,1,3,3,1,2,2,1,3,2,3,1,1,2,3,1,2,3,2,1,3,1,3,2
1,2,3,1,2,3,1,2,3,1,3,2,1,3,2,1,3,2,1,2,3,1,2,3
3,1,2,2,1,3,3,2,1,2,1,3,2,1,3,2,1,3,3,1,2,2,1,3
1,2,3,1,2,3,1,3,2,1,3,2,1,3,2,1,2,3,1,2,3,1,2,3
2,1,3,2,1,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,3,2,2,1,3,1,2,3,1,3,2,1,3,2,2,1,3,1,3,2,2,3,1
1,3,2,2,3,1,3,2,1,1,3,2,2,1,3,2,1,3,1,3,2,3,1,2
1,2,3,2,3,1,1,2,3,1,3,2,1,2,3,1,3,2,1,2,3,3,2,1
1,2,3,1,2,3,1,2,3,1,2,3,1,3,2,1,2,3,1,3,2,1,2,3
1,3,2,2,1,3,1,3,2,1,2,3,2,3,1,2,1,3,2,3,1,2,1,3
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,3,2,1,2,3,1,2,3,1,2,3,1,3,2,1,2,3,1,3,2,1,2,3
1,2,3,1,2,3,3,1,2,1,2,3,2,1,3,2,1,3,1,2,3,1,2,3
2,1,3,3,1,2,1,3,2,2,1,3,1,2,3,2,1,3,2,1,3,2,1,3
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,2,1,3,1,2,3,2,1,3
3,1,2,2,1,3,1,2,3,3,1,2,2,1,3,3,1,2,3,1,2,3,1,2
2,3,1,3,1,2,2,3,1,1,2,3,2,3,1,2,1,3,2,3,1,1,2,3
1,3,2,3,1,2,1,2,3,1,3,2,2,3,1,3,2,1,3,2,1,2,1,3
1,2,3,2,1,3,1,3,2,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
2,3,1,3,1,2,3,1,2,2,1,3,2,3,1,3,1,2,2,3,1,3,1,2
1,2,3,2,1,3,1,3,2,1,2,3,1,2,3,1,2,3,1,3,2,1,2,3
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,2,3,1,3,2,1,2,3,2,3,1,1,2,3,2,3,1,1,2,3,2,3,1
1,3,2,1,3,2,2,3,1,2,3,1,1,2,3,3,2,1,2,1,3,2,3,1
1,2,3,1,3,2,2,1,3,1,3,2,1,2,3,1,2,3,1,2,3,1,3,2
2,1,3,2,1,3,3,1,2,1,3,2,2,3,1,1,2,3,1,3,2,2,3,1
2,1,3,3,2,1,3,1,2,3,2,1,3,1,2,3,2,1,1,2,3,1,2,3
1,3,2,3,1,2,2,1,3,1,3,2,2,1,3,2,3,1,2,1,3,3,1,2
3,2,1,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,3,2,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
2,3,1,3,2,1,3,2,1,2,3,1,3,1,2,2,1,3,3,1,2,2,3,1
1,2,3,1,2,3,2,1,3,2,3,1,2,1,3,1,3,2,2,1,3,1,3,2
3,2,1,3,2,1,1,2,3,3,1,2,1,3,2,1,2,3,1,3,2,1,2,3
1,2,3,1,3,2,1,2,3,1,3,2,1,2,3,1,3,2,1,2,3,1,3,2
3,2,1,3,1,2,3,2,1,3,1,2,3,2,1,3,1,2,3,2,1,3,1,2
3,2,1,3,2,1,3,2,1,2,3,1,3,2,1,3,2,1,3,2,1,3,2,1
3,1,2,3,1,2,2,1,3,3,1,2,1,2,3,1,2,3,2,1,3,2,1,3
1,2,3,2,1,3,1,3,2,2,1,3,1,2,3,2,1,3,2,3,1,2,1,3
2,1,3,2,3,1,1,2,3,2,3,1,1,2,3,2,3,1,1,2,3,2,3,1
1,2,3,2,1,3,2,1,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,3,2,1,2,3
3,1,2,2,3,1,2,3,1,2,1,3,3,2,1,2,3,1,1,2,3,2,3,1
3,2,1,2,1,3,3,2,1,3,1,2,3,2,1,3,1,2,3,2,1,2,1,3
2,3,1,1,3,2,1,2,3,1,3,2,1,2,3,1,2,3,1,2,3,2,1,3
2,1,3,1,2,3,1,3,2,1,2,3,2,3,1,3,1,2,1,3,2,3,2,1
3,2,1,2,1,3,3,2,1,3,1,2,3,2,1,2,1,3,3,2,1,3,1,2
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,2,1,3,1,2,3,1,2,3
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,2,3,1,3,2,1,2,3,1,3,2,1,2,3,1,3,2,1,2,3,1,3,2
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,2,3,2,1,3,1,2,3,2,1,3,1,2,3,1,2,3,1,2,3,3,2,1
2,3,1,2,1,3,2,3,1,3,1,2,2,3,1,3,1,2,2,3,1,3,2,1
1,2,3,1,2,3,1,2,3,1,2,3,1,3,2,1,3,2,1,2,3,1,3,2
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,3,2
2,1,3,1,3,2,2,3,1,1,2,3,3,1,2,2,1,3,1,2,3,3,2,1
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
2,3,1,1,2,3,1,2,3,2,3,1,1,2,3,2,3,1,1,2,3,1,3,2
1,2,3,1,2,3,1,2,3,1,2,3,3,2,1,3,1,2,3,2,1,3,1,2
1,2,3,1,2,3,2,1,3,1,3,2,2,1,3,2,1,3,3,2,1,2,1,3
1,3,2,1,2,3,1,2,3,1,2,3,1,3,2,2,1,3,1,3,2,1,3,2
1,2,3,1,3,2,1,2,3,3,1,2,2,1,3,2,1,3,2,1,3,1,3,2
1,3,2,1,2,3,1,3,2,1,2,3,1,3,2,1,2,3,1,2,3,1,2,3
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3
1,2,3,1,2,3,1,3,2,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
2,3,1,2,1,3,2,3,1,2,1,3,2,3,1,3,1,2,2,3,1,2,1,3
3,2,1,3,1,2,1,2,3,1,2,3,1,2,3,1,3,2,1,3,2,2,3,1
3,2,1,1,3,2,2,1,3,3,1,2,1,2,3,3,1,2,3,1,2,3,2,1
1,2,3,2,3,1,3,1,2,1,2,3,3,1,2,2,1,3,3,1,2,3,1,2
1,2,3,3,2,1,1,3,2,3,1,2,1,3,2,2,1,3,1,3,2,2,1,3
1,2,3,3,1,2,1,2,3,2,1,3,2,1,3,1,2,3,2,3,1,1,3,2
3,1,2,1,3,2,2,3,1,1,3,2,3,1,2,3,1,2,1,3,2,3,1,2
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
3,1,2,3,2,1,1,3,2,3,2,1,3,1,2,1,2,3,1,3,2,3,2,1
3,1,2,1,2,3,1,3,2,1,2,3,1,3,2,1,2,3,1,3,2,1,2,3
2,3,1,3,1,2,1,2,3,1,3,2,2,1,3,2,3,1,2,1,3,2,1,3
2,3,1,2,1,3,2,1,3,2,3,1,3,1,2,2,3,1,3,2,1,1,2,3
1,2,3,2,1,3,1,2,3,2,1,3,2,1,3,2,1,3,1,2,3,1,3,2
1,3,2,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,3,2
1,2,3,1,2,3,1,3,2,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,2,3,2,1,3,1,3,2,1,3,2,2,1,3,1,2,3,1,2,3,1,2,3
3,2,1,3,2,1,3,2,1,3,2,1,3,1,2,3,2,1,3,2,1,3,2,1
2,3,1,3,1,2,2,1,3,3,2,1,1,3,2,3,1,2,3,1,2,1,3,2
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,3,2,1,2,3
3,1,2,2,1,3,2,1,3,3,1,2,3,2,1,2,1,3,3,2,1,2,1,3
1,2,3,3,1,2,1,2,3,3,2,1,1,3,2,2,3,1,1,2,3,1,2,3
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,2,3,2,3,1,1,2,3,2,1,3,1,2,3,1,3,2,1,2,3,1,2,3
3,1,2,1,2,3,2,1,3,2,1,3,2,1,3,2,3,1,2,1,3,1,3,2
3,1,2,1,2,3,2,1,3,3,2,1,2,1,3,1,2,3,1,3,2,2,3,1
2,1,3,1,3,2,1,2,3,1,3,2,2,3,1,3,2,1,2,3,1,2,1,3
1,2,3,1,2,3,1,2,3,1,3,2,1,3,2,1,2,3,1,2,3,1,3,2
1,3,2,2,3,1,1,2,3,2,1,3,1,2,3,1,2,3,1,3,2,2,3,1
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,3,2,1,2,3
1,3,2,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,2,1,3
1,3,2,1,2,3,2,1,3,2,3,1,3,2,1,3,2,1,1,3,2,2,1,3
1,2,3,1,2,3,2,3,1,1,2,3,3,2,1,3,2,1,1,3,2,3,2,1
3,2,1,3,1,2,3,2,1,3,1,2,3,2,1,3,1,2,3,2,1,3,2,1
3,2,1,3,2,1,3,2,1,3,1,2,2,3,1,3,1,2,1,3,2,3,2,1
1,3,2,1,2,3,1,3,2,1,2,3,1,2,3,1,2,3,1,2,3,1,3,2
2,1,3,2,1,3,1,2,3,2,1,3,1,2,3,2,1,3,1,2,3,2,1,3
2,1,3,1,3,2,2,1,3,1,3,2,2,1,3,1,3,2,2,1,3,1,3,2
2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3
1,3,2,1,2,3,1,3,2,2,3,1,1,2,3,1,3,2,1,2,3,1,2,3
2,1,3,1,3,2,1,2,3,2,3,1,1,2,3,1,3,2,1,2,3,1,3,2
1,2,3,1,2,3,1,3,2,1,2,3,1,2,3,2,1,3,1,2,3,1,2,3
3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
2,1,3,3,1,2,1,2,3,2,1,3,1,2,3,2,1,3,1,2,3,1,2,3
2,1,3,1,2,3,2,1,3,1,3,2,2,1,3,1,3,2,2,1,3,1,3,2
3,2,1,3,1,2,2,3,1,2,1,3,1,3,2,3,2,1,3,2,1,3,1,2
2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3
1,2,3,1,2,3,1,2,3,2,1,3,2,1,3,2,1,3,1,2,3,1,2,3
2,1,3,2,3,1,2,1,3,1,3,2,2,1,3,1,3,2,2,1,3,1,3,2
1,3,2,1,2,3,1,2,3,1,3,2,1,2,3,1,2,3,1,2,3,1,2,3
1,2,3,3,2,1,2,1,3,2,3,1,1,3,2,2,3,1,2,3,1,1,2,3
2,1,3,1,2,3,2,1,3,2,1,3,2,1,3,1,3,2,2,1,3,2,3,1
1,2,3,2,1,3,1,2,3,2,3,1,3,1,2,2,3,1,1,3,2,3,2,1
3,1,2,1,2,3,2,3,1,3,2,1,1,3,2,3,1,2,3,1,2,2,1,3
1,2,3,1,2,3,1,3,2,1,2,3,1,2,3,1,3,2,1,2,3,1,3,2
1,2,3,1,3,2,1,3,2,1,2,3,1,2,3,1,3,2,1,3,2,1,3,2
2,3,1,2,1,3,2,1,3,1,3,2,2,1,3,2,3,1,1,2,3,2,1,3
1,3,2,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,3,2,1,2,3,1,3,2,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,3,2,1,2,3,1,3,2,1,2,3,1,3,2,1,2,3,1,2,3,1,2,3
1,3,2,2,1,3,1,3,2,1,2,3,1,3,2,1,2,3,1,2,3,1,2,3
1,2,3,1,2,3,1,3,2,1,2,3,1,2,3,1,2,3,1,3,2,1,2,3
1,2,3,1,3,2,3,1,2,2,1,3,1,3,2,1,2,3,1,2,3,1,2,3
1,2,3,1,3,2,1,2,3,1,2,3,1,2,3,1,3,2,1,2,3,1,3,2
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,3,2,3,1,2,2,3,1,2,3,1,1,2,3,2,3,1,3,2,1,1,3,2
2,3,1,1,3,2,3,2,1,2,1,3,3,1,2,3,1,2,3,1,2,2,1,3
1,3,2,1,3,2,1,2,3,1,2,3,1,2,3,1,3,2,1,2,3,1,3,2
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,3,2,1,2,3,1,2,3
3,1,2,2,1,3,3,1,2,1,3,2,1,2,3,1,3,2,3,1,2,3,2,1
1,3,2,3,1,2,1,3,2,3,1,2,2,3,1,3,1,2,1,2,3,3,1,2
1,2,3,1,3,2,1,3,2,1,3,2,2,3,1,3,2,1,3,2,1,3,2,1
1,2,3,1,3,2,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,2,3,1,3,2,1,2,3,1,3,2,1,2,3,1,3,2,1,2,3,1,3,2
1,2,3,1,2,3,1,2,3,1,3,2,1,2,3,1,3,2,1,2,3,1,3,2
3,1,2,3,1,2,2,3,1,3,1,2,3,2,1,3,1,2,3,2,1,3,1,2
1,2,3,2,3,1,1,3,2,2,3,1,1,2,3,1,2,3,1,2,3,1,2,3
3,2,1,3,1,2,3,2,1,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2
1,2,3,1,2,3,1,2,3,2,1,3,1,2,3,1,2,3,1,2,3,2,1,3
2,1,3,3,1,2,1,3,2,1,3,2,1,2,3,2,3,1,2,3,1,3,2,1
2,3,1,1,2,3,2,3,1,2,1,3,3,1,2,2,3,1,1,3,2,2,1,3
1,2,3,1,2,3,1,2,3,2,1,3,1,2,3,1,2,3,1,2,3,1,2,3
1,2,3,1,2,3,1,3,2,1,2,3,1,3,2,1,2,3,1,3,2,1,2,3
1,3,2,1,3,2,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,2,3,1,2,3,1,3,2,1,3,2,1,2,3,1,2,3,1,2,3,1,2,3
2,1,3,1,2,3,2,3,1,2,3,1,2,3,1,1,2,3,2,3,1,3,2,1
1,2,3,2,3,1,2,3,1,1,2,3,1,3,2,1,2,3,1,3,2,2,1,3
3,2,1,3,2,1,2,1,3,1,2,3,1,2,3,2,1,3,3,1,2,2,3,1
1,3,2,2,1,3,1,3,2,1,2,3,1,3,2,1,2,3,1,3,2,1,2,3
2,3,1,3,2,1,1,3,2,2,1,3,1,3,2,1,3,2,1,3,2,2,3,1
1,2,3,1,2,3,1,3,2,1,2,3,1,3,2,1,2,3,1,2,3,1,3,2
1,3,2,2,1,3,1,3,2,1,2,3,1,2,3,1,2,3,1,3,2,1,2,3
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
2,1,3,2,1,3,2,1,3,1,2,3,2,1,3,2,1,3,2,1,3,3,1,2
1,3,2,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,2,3,3,2,1,3,2,1,2,1,3,1,2,3,2,1,3,1,2,3,3,1,2
3,2,1,1,2,3,1,2,3,2,3,1,2,3,1,3,2,1,1,3,2,2,1,3
2,1,3,1,3,2,1,2,3,1,3,2,3,1,2,2,1,3,3,1,2,2,3,1
1,3,2,1,2,3,1,2,3,1,3,2,1,3,2,1,3,2,1,2,3,1,3,2
3,1,2,3,1,2,3,2,1,3,2,1,3,2,1,3,1,2,3,2,1,3,1,2
2,1,3,1,3,2,2,1,3,1,2,3,1,2,3,3,1,2,3,2,1,2,3,1
1,3,2,1,2,3,1,2,3,1,3,2,1,3,2,1,2,3,1,2,3,1,2,3
2,1,3,2,1,3,2,1,3,1,2,3,1,2,3,2,3,1,2,1,3,1,3,2
1,2,3,1,3,2,1,2,3,1,3,2,2,1,3,1,3,2,2,1,3,1,3,2
2,1,3,3,1,2,3,1,2,3,1,2,3,1,2,1,3,2,3,2,1,3,2,1
3,2,1,3,1,2,3,2,1,3,1,2,3,2,1,3,1,2,3,2,1,3,1,2
2,3,1,2,1,3,3,2,1,3,1,2,3,2,1,3,1,2,3,2,1,2,1,3
1,3,2,1,2,3,1,3,2,1,2,3,1,3,2,1,2,3,1,3,2,1,2,3
1,3,2,2,3,1,1,3,2,2,3,1,1,3,2,3,2,1,1,3,2,3,2,1
1,2,3,1,3,2,1,2,3,1,3,2,1,2,3,1,3,2,1,2,3,1,3,2
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
1,2,3,2,3,1,2,3,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1
3,2,1,1,2,3,1,3,2,3,2,1,3,2,1,2,1,3,3,1,2,3,2,1
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
