"radial1:left-medium,topright-far2,topleft-far3","radial1:right-close,right-medium,bottomleft-far1","radial1:left-medium,topright-far2,right-close","radial1:right-close,bottomleft-far1,bottomleft-far2","radial1:right-close,bottomright-far,topright-far2","radial1:topleft-medium,left-far,bottomleft-close","radial1:topleft-far,left-close,bottomleft-medium","radial2:left-medium,topright-far2,topleft-far3","radial2:right-close,right-medium,bottomleft-far1","radial2:left-medium,topright-far2,right-close","radial2:right-close,bottomleft-far1,bottomleft-far2","radial2:right-close,bottomright-far,topright-far2","radial2:topleft-medium,left-far,bottomleft-close","radial2:topleft-far,left-close,bottomleft-medium","grid1:left-medium,topright-far2,topleft-far3","grid1:right-close,right-medium,bottomleft-far1","grid1:left-medium,topright-far2,right-close","grid1:right-close,bottomleft-far1,bottomleft-far2","grid1:right-close,bottomright-far,topright-far2","grid1:topleft-medium,left-far,bottomleft-close","grid1:topleft-far,left-close,bottomleft-medium","grid2:left-medium,topright-far2,topleft-far3","grid2:right-close,right-medium,bottomleft-far1","grid2:left-medium,topright-far2,right-close","grid2:right-close,bottomleft-far1,bottomleft-far2","grid2:right-close,bottomright-far,topright-far2","grid2:topleft-medium,left-far,bottomleft-close","grid2:topleft-far,left-close,bottomleft-medium"
4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,6,4,4,5,4,4
6,4,4,4,5,6,5,5,6,6,5,5,4,5,5,5,5,5,5,4,6,6,6,6,5,5,5,5
4,4,5,5,6,4,6,6,5,4,4,6,5,4,4,5,6,4,4,4,5,4,6,4,6,6,6,4
6,6,5,6,6,4,4,6,6,5,6,6,4,4,6,6,5,6,6,4,6,6,6,5,6,6,4,4
4,4,4,4,4,6,5,4,4,6,4,4,6,5,4,6,4,4,4,5,5,4,5,6,4,4,5,6
4,5,4,6,4,6,4,4,5,5,6,6,5,6,6,5,6,4,6,6,4,6,6,4,6,6,4,4
4,6,6,5,5,4,4,6,6,6,4,4,4,5,4,6,6,6,5,5,5,4,5,4,6,6,6,4
6,4,6,4,4,4,4,6,6,6,4,4,4,4,6,6,6,4,6,4,4,6,6,6,5,6,4,4
6,6,4,6,6,5,6,6,5,6,6,4,6,4,6,4,5,6,5,5,6,4,4,6,4,6,5,4
6,4,4,6,5,4,4,4,6,4,4,6,4,4,5,6,4,5,5,4,4,5,6,4,5,5,4,5
4,6,4,5,5,4,4,4,5,4,5,5,4,4,4,6,4,5,5,4,4,4,5,4,5,5,4,4
4,5,4,5,6,4,4,4,4,4,5,5,6,4,4,4,4,5,5,5,6,4,4,6,4,4,6,6
4,6,4,5,4,4,5,4,6,4,5,5,4,4,5,6,4,5,5,4,4,4,6,4,5,5,4,4
6,4,6,5,4,4,4,6,4,6,5,5,4,4,5,4,4,6,5,5,5,6,4,6,4,4,4,5
6,6,4,5,5,4,4,6,4,4,4,5,4,4,4,4,4,5,4,4,4,5,6,4,5,5,4,4
4,4,5,4,4,4,4,4,4,6,5,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4
5,6,5,5,5,4,4,5,6,5,5,5,4,4,4,6,6,5,5,4,4,6,4,6,4,4,4,6
5,4,4,4,4,4,4,4,6,4,5,4,4,4,6,4,6,4,4,4,4,6,4,6,4,4,4,4
4,6,4,5,5,4,4,4,6,4,5,5,4,4,4,6,4,5,5,4,4,4,5,4,5,5,4,4
6,4,5,5,6,4,5,5,4,6,4,4,4,6,6,4,6,5,4,5,4,4,5,5,5,5,4,4
6,4,6,4,4,4,4,4,4,6,4,4,4,4,4,4,6,4,4,4,4,4,4,6,4,4,4,4
4,5,4,4,5,4,5,4,5,4,4,6,5,5,4,5,4,5,5,4,4,4,5,4,5,5,4,4
6,4,6,4,4,6,5,6,4,6,4,4,6,5,6,4,6,4,4,6,5,4,4,6,4,4,4,5
6,6,4,6,5,5,5,4,4,6,4,6,4,6,4,5,6,4,4,4,6,6,6,5,5,4,4,4
6,6,6,4,6,4,4,6,4,4,6,5,4,4,4,4,6,5,5,4,4,6,6,4,6,6,4,4
6,5,5,4,4,4,4,6,5,5,5,5,4,5,4,6,6,4,5,5,5,6,6,4,4,5,4,4
4,6,5,5,6,4,4,4,5,5,5,5,5,4,4,4,6,6,5,5,5,4,4,4,6,6,6,6
4,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,5,5
4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6,6,4,5,5,5,4,5,6,4,6,5,4,5,5,6,6,5,5,4,4,6,6,6,5,5,4,4
4,4,6,5,5,4,4,5,6,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4
4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4
6,4,6,4,5,4,4,4,4,4,5,6,4,4,6,4,4,5,4,4,4,5,4,5,5,6,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,5,5,6,4,6,5,5,5,4,4,4,5,6,4,5,6,6,4,4,4,4,4,4,4,6,5,4
4,6,4,5,5,4,4,5,6,4,5,5,4,4,4,6,4,5,5,4,4,4,5,4,5,5,4,4
4,4,4,4,5,4,4,6,4,4,5,5,4,4,6,6,4,5,5,4,4,6,6,4,5,5,4,4
5,6,5,5,5,4,4,6,6,5,5,6,4,4,6,6,5,5,6,4,4,6,6,5,5,6,4,4
4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
4,4,4,4,5,4,5,4,4,6,4,4,6,5,4,4,6,5,4,4,4,4,6,6,5,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,5,4,4
4,5,4,4,5,4,4,4,5,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,5,4,4
5,5,4,4,6,5,4,4,5,5,6,6,5,4,4,4,4,6,5,6,5,5,6,6,6,4,5,5
6,6,4,5,5,4,6,5,6,5,5,5,4,6,5,6,5,5,5,4,6,5,6,5,5,5,4,4
4,6,6,4,4,4,4,4,4,6,4,4,4,4,4,5,6,4,4,4,4,4,5,4,4,4,4,4
4,4,4,5,5,4,4,5,4,6,4,4,4,4,4,4,6,4,4,4,4,4,4,6,4,4,4,4
4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
4,5,4,4,5,6,6,5,5,4,6,4,4,5,6,6,5,5,6,5,6,4,6,4,4,6,6,5
4,4,4,5,5,4,4,4,4,6,4,4,6,4,6,4,4,4,4,4,4,6,5,4,4,5,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,5,4,4,4,4,4,4,4,4,4,4
6,4,6,4,4,4,4,6,4,6,4,4,4,4,6,4,6,4,4,4,4,6,6,6,4,4,4,4
6,5,5,4,5,5,4,4,5,6,6,4,4,6,4,4,6,6,6,6,5,6,6,5,6,5,4,4
5,6,4,6,6,4,6,6,5,5,4,5,6,6,4,5,4,4,5,4,6,4,6,5,5,6,5,5
6,5,4,6,4,4,4,6,5,4,6,6,5,4,5,6,6,5,4,5,6,5,6,4,4,6,6,4
5,4,4,6,6,4,4,6,6,5,6,6,4,4,4,4,6,5,4,4,4,4,4,4,5,6,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,6,4,4,4,5
5,4,5,5,6,6,5,6,6,5,6,6,5,5,6,6,5,5,6,4,6,6,6,5,5,6,5,4
4,4,6,4,5,4,6,4,4,5,4,5,6,6,5,4,6,4,5,4,5,4,5,4,4,5,4,4
6,4,4,5,4,4,4,5,5,4,6,4,5,5,4,4,4,6,5,6,5,5,5,5,6,6,4,4
4,6,4,5,5,4,4,6,6,4,5,5,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4
6,6,4,5,6,6,5,5,6,4,4,6,4,6,5,4,5,5,6,4,4,6,6,4,5,5,6,6
4,5,4,5,5,4,4,4,6,4,5,5,4,4,6,6,4,5,5,4,4,6,6,5,5,5,4,4
4,6,4,4,4,6,4,6,4,5,5,6,4,4,4,6,4,4,5,5,4,6,6,6,4,4,6,5
5,4,6,4,4,6,5,6,4,6,4,4,6,5,6,4,6,4,4,6,5,6,4,6,4,4,4,5
6,4,5,5,6,4,4,4,6,4,4,5,4,4,4,6,4,5,5,4,4,6,4,6,5,4,4,4
5,4,4,5,6,6,6,6,6,6,6,4,4,5,6,6,6,4,4,4,6,4,6,4,6,5,6,6
4,4,5,4,4,4,4,6,4,6,4,6,4,4,6,4,6,4,4,4,4,4,4,6,5,4,4,4
4,4,5,4,6,4,4,4,4,6,4,4,4,4,6,4,5,4,4,4,4,6,4,5,5,4,4,4
4,6,4,5,5,4,4,4,6,4,5,5,4,4,4,6,4,5,5,4,4,5,6,4,5,5,4,4
5,5,4,6,5,4,6,5,6,5,6,5,4,6,5,6,5,5,5,4,4,5,6,5,5,5,4,4
5,5,5,5,5,4,4,5,6,4,6,5,5,5,6,5,6,5,4,6,5,6,5,5,6,5,5,4
6,4,6,4,4,4,4,6,6,6,5,6,4,4,6,6,6,5,6,4,4,6,4,5,5,6,4,4
5,6,4,4,6,4,4,4,6,5,5,5,4,4,4,6,5,5,5,4,4,4,6,4,5,5,4,4
4,5,4,5,5,4,6,4,6,4,5,5,4,4,4,6,4,5,5,4,4,5,6,4,5,5,4,4
4,6,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4
6,6,5,6,6,4,4,6,6,5,6,6,4,4,6,6,5,5,6,5,4,6,6,5,6,6,4,5
4,5,5,5,6,5,6,4,6,4,5,6,6,6,6,4,5,6,6,4,4,5,4,5,6,5,5,6
4,4,6,4,4,4,6,4,4,6,4,4,4,6,4,5,6,5,4,4,5,4,6,6,4,4,5,6
4,5,4,4,5,4,6,4,5,4,4,4,4,6,4,4,6,4,4,6,4,4,5,4,4,4,6,5
5,6,6,4,5,4,4,4,6,6,4,5,4,6,5,5,4,4,4,4,5,5,6,6,5,4,4,4
4,4,6,4,4,4,5,4,4,6,4,4,6,5,4,4,4,4,4,6,5,4,4,6,4,4,6,5
4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,6,4,5,4,4,4,4,6,4,4,4,4
4,4,4,4,4,4,4,4,4,6,4,4,4,4,6,4,6,4,4,4,4,4,4,6,4,4,4,4
5,4,4,5,5,5,6,5,4,6,4,6,4,6,6,4,4,6,5,5,5,4,6,4,5,5,4,6
4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4
4,6,4,5,5,4,4,4,6,4,5,5,4,4,4,6,4,5,5,4,4,4,6,4,5,5,4,4
4,4,4,4,4,4,6,5,4,6,4,5,6,6,5,5,6,6,4,6,4,6,4,4,5,5,5,5
4,4,6,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,6,5,5,6,5,4,6,4,4,4,6,5,5,5,5,4,6,6,4,6,4,6,5,4,5,5
4,4,6,4,4,6,5,4,4,6,4,4,6,5,4,4,6,4,4,6,5,4,4,6,4,4,6,5
5,6,5,5,5,4,4,4,6,5,5,4,4,4,4,6,4,4,5,4,4,4,6,5,5,6,4,4
4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,6,4,4,4,4,4,4,6,4,4,4,4
4,4,4,4,4,6,6,4,4,6,4,4,6,6,6,6,5,5,5,6,6,6,4,4,5,4,4,5
4,6,4,5,6,4,4,4,4,4,4,4,4,4,4,6,4,4,4,6,4,4,5,4,5,4,4,4
6,6,5,4,5,4,4,4,6,4,6,4,5,4,4,4,5,6,6,4,5,6,4,4,5,5,4,4
4,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,6,4,4,4,4
6,6,6,4,5,4,4,6,4,6,4,4,4,4,6,6,5,5,4,4,4,6,4,4,5,6,4,4
4,6,4,5,5,4,6,4,6,4,5,5,4,6,4,6,4,5,5,4,6,4,6,4,5,5,6,6
4,6,4,5,5,4,4,4,6,4,5,5,4,4,4,6,4,5,5,4,4,4,6,4,5,5,4,4
4,4,6,6,4,5,4,5,5,4,5,6,6,5,4,4,4,4,5,6,4,4,6,5,4,5,5,4
6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,6,4,5,4,4,4,6,6,4,5,5,4,4
5,6,6,6,6,5,4,5,6,4,5,4,4,6,4,4,4,4,4,4,4,5,4,6,5,6,5,6
5,5,5,5,5,4,4,6,6,5,5,5,4,4,6,6,4,5,5,4,4,5,6,5,5,5,4,4
4,6,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,6,4,5,5,4,4
5,6,5,6,5,4,4,5,6,6,5,6,4,4,6,6,5,6,5,5,4,6,4,6,5,5,4,4
4,4,5,6,6,5,4,4,5,6,5,5,5,5,5,5,6,6,4,5,5,4,4,4,5,5,5,6
5,6,5,5,5,4,4,5,6,5,5,5,4,4,5,6,5,5,6,4,4,5,6,5,5,5,4,4
4,5,4,5,5,4,6,4,4,6,4,4,4,4,4,6,6,4,5,4,4,4,4,4,4,4,4,4
4,4,4,5,4,4,4,4,4,4,4,4,4,4,6,4,4,5,4,4,4,4,6,4,5,4,4,4
4,5,6,4,4,5,4,6,5,4,5,5,4,6,5,5,4,6,5,5,6,4,4,6,6,4,4,5
6,5,6,6,6,5,6,4,5,5,5,4,5,6,5,5,4,5,4,6,5,4,4,4,4,4,6,6
4,6,4,5,6,4,5,4,6,4,5,5,6,5,4,6,4,5,5,6,5,4,6,4,5,5,6,5
4,5,4,5,5,4,4,4,5,4,5,5,4,5,4,5,4,5,5,5,4,4,5,4,5,5,5,4
6,4,4,5,5,4,4,6,4,5,4,4,4,4,6,4,6,4,4,4,4,4,4,6,4,5,4,4
4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,6,4,4,4,4,4,4,6,4,4,4,4
4,5,4,6,5,4,4,6,5,4,4,6,4,4,4,6,4,4,5,4,4,4,5,4,4,5,5,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,5,4,4,4,4,4,4,5,6,4,6,4,5,4,5,6,5,5,5,5,4,6,6,5,6,6,4
5,6,4,6,5,4,6,4,6,4,6,5,4,6,5,5,4,4,5,5,4,4,4,6,6,4,6,4
4,6,5,5,5,4,4,4,6,5,5,5,4,4,5,6,5,5,5,4,4,5,6,5,5,5,4,4
6,5,4,5,5,4,4,5,5,5,5,4,4,6,4,6,4,5,6,4,4,4,6,5,5,5,4,4
6,5,4,4,5,4,4,6,4,4,4,4,4,4,6,4,4,4,5,4,4,6,4,6,4,5,4,4
4,4,4,4,5,4,4,4,6,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4
5,6,5,6,6,4,4,6,6,5,6,6,4,4,6,6,5,6,6,4,4,6,6,4,6,6,4,4
4,5,4,4,5,6,5,6,5,5,4,4,5,4,4,4,6,6,6,4,5,5,4,6,4,5,5,4
5,6,4,4,6,4,4,4,5,6,6,4,4,5,5,6,6,5,5,6,5,6,6,5,6,5,5,4
4,6,5,5,5,4,4,5,6,5,5,5,4,4,5,6,5,5,5,4,4,5,6,4,5,5,4,4
4,5,4,4,5,4,6,4,5,4,4,4,4,5,4,5,4,4,5,4,4,4,5,4,4,5,4,6
4,5,4,5,5,4,4,4,5,4,5,5,4,4,4,5,4,5,5,4,4,4,5,4,5,5,5,4
4,4,4,5,5,4,4,4,4,4,5,5,4,4,6,4,4,5,4,4,4,4,4,4,4,4,4,4
5,6,5,5,4,4,4,5,6,4,5,4,5,5,6,4,6,4,6,4,4,6,6,6,4,6,5,4
4,5,6,4,4,6,5,6,4,4,4,6,4,6,4,4,4,4,4,6,5,6,4,5,5,6,5,4
4,6,4,5,5,5,4,4,6,4,5,5,4,4,4,6,4,5,5,4,4,4,6,4,5,5,4,4
6,4,6,6,6,6,4,4,5,6,5,5,5,5,4,6,5,4,4,4,4,6,5,6,4,4,6,4
4,5,4,5,5,4,6,4,5,4,4,5,4,6,4,5,4,4,5,4,4,5,6,4,5,5,5,6
4,4,4,4,4,4,5,4,5,4,4,4,4,5,4,5,4,4,5,4,5,4,5,4,4,4,4,4
4,6,4,5,5,4,4,4,6,4,5,5,4,4,4,6,4,5,5,4,4,4,6,4,5,5,4,4
5,6,5,5,6,4,4,4,6,5,5,5,4,4,5,6,5,5,5,4,4,5,6,5,5,5,4,4
4,6,4,5,5,4,4,4,6,4,5,5,4,4,4,6,4,5,5,4,4,4,4,4,4,5,4,4
6,4,6,4,4,4,4,6,4,6,4,4,4,4,6,4,6,4,4,4,4,6,4,6,4,4,4,4
4,5,4,5,4,4,4,4,4,4,5,5,4,4,6,4,5,4,4,4,4,4,4,5,4,5,4,4
6,4,4,4,4,4,4,6,4,4,4,4,4,4,6,4,4,4,4,4,4,6,4,4,4,4,4,4
6,6,4,5,5,4,4,6,4,4,5,6,4,4,6,6,4,5,6,4,4,6,6,4,5,6,4,4
5,4,6,4,4,4,4,6,6,6,4,4,4,4,6,6,5,4,4,4,4,5,6,6,4,5,4,4
6,6,4,5,4,4,4,6,4,5,5,5,4,4,6,5,4,5,5,4,4,6,6,5,5,5,5,4
5,6,4,5,4,6,6,6,5,4,6,5,5,6,4,5,4,5,4,5,6,4,5,4,5,5,4,5
6,5,6,5,5,4,5,6,6,4,4,5,6,5,5,5,5,5,4,5,5,6,6,4,4,5,5,6
6,5,5,5,6,4,4,6,4,5,4,6,4,4,6,4,5,4,6,4,4,5,4,5,5,4,4,4
4,5,4,6,4,5,6,6,5,4,4,6,4,4,4,5,4,5,5,5,4,4,5,4,5,5,4,4
4,4,6,4,4,4,4,4,4,6,4,5,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4
5,6,4,6,4,6,4,6,5,5,4,5,4,6,5,4,4,6,4,5,5,5,4,4,5,4,5,4
6,6,5,5,6,4,4,6,6,5,6,5,4,6,6,6,5,6,6,4,4,6,5,5,4,4,5,6
6,5,6,4,5,4,5,6,4,4,6,6,5,6,6,4,4,4,4,4,5,4,5,6,4,5,5,4
6,4,5,5,5,5,6,6,6,6,4,5,5,6,6,6,4,5,6,6,4,5,6,4,5,4,6,6
5,4,5,6,6,4,4,5,6,5,6,6,4,4,6,6,5,6,6,4,4,6,6,5,6,6,4,4
4,6,4,4,5,4,4,4,6,4,5,5,4,6,4,5,4,5,5,4,4,4,5,4,5,5,4,4
6,4,6,4,5,4,6,6,6,4,5,4,6,4,5,5,5,5,5,5,4,6,6,4,4,5,5,4
6,4,4,4,4,4,4,6,4,4,4,5,4,4,6,4,6,4,4,4,4,6,4,6,4,4,4,4
5,6,5,5,6,4,4,5,6,5,5,6,4,4,5,6,5,5,6,4,4,5,6,5,5,6,4,4
4,4,4,4,4,4,4,4,5,4,4,5,4,6,4,5,4,4,5,4,4,4,6,4,5,5,4,4
4,4,6,4,5,4,4,6,6,6,5,6,4,4,5,6,6,5,5,4,4,5,6,6,5,4,4,4
6,6,5,6,5,4,6,5,4,5,6,4,6,4,4,6,6,5,4,6,6,5,4,4,6,6,4,5
4,4,5,6,5,6,6,5,4,5,4,4,4,4,4,6,4,4,5,4,4,6,5,5,5,5,4,4
6,4,5,5,5,4,4,6,4,5,5,6,4,4,6,6,4,4,5,4,4,5,6,5,4,5,4,4
6,4,4,4,4,4,4,6,4,4,4,5,4,4,6,4,4,4,4,4,4,6,4,4,4,4,4,4
5,4,6,6,5,6,6,6,5,5,6,5,5,4,4,4,6,5,6,4,6,4,6,4,5,4,6,5
5,5,5,6,6,5,5,6,6,6,6,4,5,4,4,4,4,4,5,4,5,4,5,4,4,5,4,4
4,4,4,5,5,4,4,4,6,4,4,4,4,4,4,4,6,4,5,4,4,4,4,6,5,5,4,4
4,4,4,4,5,4,4,6,4,6,4,5,4,4,4,4,6,5,4,4,5,4,4,4,6,5,4,4
5,5,5,4,6,6,6,5,6,6,6,6,5,5,5,5,4,4,4,4,6,5,6,5,5,6,4,6
5,4,4,4,5,4,4,6,4,6,5,5,4,4,5,6,4,4,6,4,4,6,6,5,4,6,4,4
4,4,4,4,4,5,5,4,5,4,4,4,5,5,4,5,4,4,4,5,5,4,5,4,4,4,5,5
6,5,4,4,4,4,4,6,4,4,5,4,4,4,6,4,4,4,5,4,4,6,6,5,5,6,4,4
4,6,4,5,5,6,4,4,6,4,5,5,4,4,4,6,4,5,6,4,4,5,6,4,5,5,4,4
6,4,5,4,6,4,4,5,6,4,4,6,4,4,6,6,6,4,6,4,4,4,6,4,4,5,4,4
4,6,4,5,5,4,4,4,4,4,4,5,4,6,4,6,5,5,5,4,4,4,6,4,4,5,4,4
5,5,4,6,5,4,4,4,5,4,6,5,5,6,6,4,4,5,5,4,4,4,5,4,5,4,4,4
4,5,4,5,5,5,4,4,5,4,5,6,5,6,4,5,4,5,5,4,4,4,5,4,6,5,5,4
4,6,4,5,5,4,6,4,4,4,4,5,4,4,4,6,4,5,5,4,4,4,6,5,5,5,4,4
